source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
module.onnxruntime.transformers.io_binding_helper.c,onnxruntime,False,cache_miss,2026-09-23T13:00:17.317316,9.644,0.083,9.727,9.681,1057534
module.onnxruntime.transformers.large_model_exporter.c,onnxruntime,False,cache_miss,2026-09-23T13:00:27.039285,7.562,0.078,7.641,7.664,810035
module.onnxruntime.transformers.machine_info.c,onnxruntime,False,cache_miss,2026-09-23T13:00:34.658514,3.963,0.057,4.020,3.991,423682
module.onnxruntime.transformers.metrics.c,onnxruntime,False,cache_miss,2026-09-23T13:00:38.694746,4.733,0.073,4.806,4.830,462487
module.onnxruntime.transformers.models.bart.c,onnxruntime,False,cache_miss,2026-09-23T13:00:43.482326,2.528,0.055,2.583,2.611,74513
module.onnxruntime.transformers.models.bart.export.c,onnxruntime,False,cache_miss,2026-09-23T13:00:46.070232,2.659,0.060,2.718,2.709,129237
module.onnxruntime.transformers.models.bert.c,onnxruntime,False,cache_miss,2026-09-23T13:00:48.781812,2.496,0.053,2.549,2.558,74513
module.onnxruntime.transformers.models.bert.eval_squad.c,onnxruntime,False,cache_miss,2026-09-23T13:00:51.345242,4.574,0.067,4.641,4.609,480391
module.onnxruntime.transformers.models.c,onnxruntime,False,cache_miss,2026-09-23T13:00:55.984452,2.376,0.065,2.441,2.473,33162
module.onnxruntime.transformers.models.gpt2.benchmark_gpt2.c,onnxruntime,False,cache_miss,2026-09-23T13:00:58.419253,6.924,0.059,6.984,6.952,555376
module.onnxruntime.transformers.models.gpt2.c,onnxruntime,False,cache_miss,2026-09-23T13:01:05.402368,2.410,0.059,2.469,2.492,74513
module.onnxruntime.transformers.models.gpt2.convert_to_onnx.c,onnxruntime,False,cache_miss,2026-09-23T13:01:07.882310,7.382,0.070,7.452,7.431,724445
module.onnxruntime.transformers.models.gpt2.gpt2_helper.c,onnxruntime,False,cache_miss,2026-09-23T13:01:15.350805,15.668,0.087,15.755,15.761,1813016
module.onnxruntime.transformers.models.gpt2.gpt2_parity.c,onnxruntime,False,cache_miss,2026-09-23T13:01:31.089844,7.738,0.071,7.808,7.790,806072
module.onnxruntime.transformers.models.gpt2.gpt2_tester.c,onnxruntime,False,cache_miss,2026-09-23T13:01:38.896747,8.587,0.069,8.657,8.670,970827
module.onnxruntime.transformers.models.gpt2.parity_check_helper.c,onnxruntime,False,cache_miss,2026-09-23T13:01:47.541509,3.788,0.058,3.845,3.846,303830
module.onnxruntime.transformers.models.llama.benchmark.c,onnxruntime,False,cache_miss,2026-09-23T13:01:51.408185,8.577,0.079,8.656,8.665,1096267
module.onnxruntime.transformers.models.llama.benchmark_all.c,onnxruntime,False,cache_miss,2026-09-23T13:02:00.060469,5.224,0.076,5.300,5.298,537035
module.onnxruntime.transformers.models.llama.benchmark_e2e.c,onnxruntime,False,cache_miss,2026-09-23T13:02:05.361177,13.767,0.077,13.844,13.822,933241
module.onnxruntime.transformers.models.llama.c,onnxruntime,False,cache_miss,2026-09-23T13:02:19.191930,2.432,0.064,2.496,2.535,64858
module.onnxruntime.transformers.models.llama.convert_to_onnx.c,onnxruntime,False,cache_miss,2026-09-23T13:02:21.712396,15.561,0.089,15.650,15.601,1566136
module.onnxruntime.transformers.models.llama.dist_settings.c,onnxruntime,False,cache_miss,2026-09-23T13:02:37.328763,2.743,0.055,2.798,2.839,130978
module.onnxruntime.transformers.models.llama.llama_inputs.c,onnxruntime,False,cache_miss,2026-09-23T13:02:40.145347,7.680,0.074,7.753,7.733,766462
module.onnxruntime.transformers.models.llama.llama_parity.c,onnxruntime,False,cache_miss,2026-09-23T13:02:47.907558,5.183,0.083,5.266,5.257,526589
module.onnxruntime.transformers.models.llama.llama_torch.c,onnxruntime,False,cache_miss,2026-09-23T13:02:53.159070,2.746,0.069,2.814,2.842,124049
module.onnxruntime.transformers.models.llama.quant_kv_dataloader.c,onnxruntime,False,cache_miss,2026-09-23T13:02:55.971089,3.809,0.066,3.875,3.845,299888
module.onnxruntime.transformers.models.longformer.benchmark_longformer.c,onnxruntime,False,cache_miss,2026-09-23T13:02:59.878858,10.107,0.099,10.206,10.224,1138049
module.onnxruntime.transformers.models.longformer.c,onnxruntime,False,cache_miss,2026-09-23T13:03:10.039911,2.560,0.054,2.614,2.623,75365
module.onnxruntime.transformers.models.longformer.convert_to_onnx.c,onnxruntime,False,cache_miss,2026-09-23T13:03:12.672066,4.015,0.072,4.087,4.063,494750
module.onnxruntime.transformers.models.longformer.generate_test_data.c,onnxruntime,False,cache_miss,2026-09-23T13:03:16.741414,4.093,0.055,4.148,4.132,402758
module.onnxruntime.transformers.models.longformer.longformer_helper.c,onnxruntime,False,cache_miss,2026-09-23T13:03:20.888901,3.026,0.055,3.080,3.105,188103
module.onnxruntime.transformers.models.phi2.c,onnxruntime,False,cache_miss,2026-09-23T13:03:23.973362,2.422,0.059,2.481,2.511,64732
module.onnxruntime.transformers.models.phi2.convert_to_onnx.c,onnxruntime,False,cache_miss,2026-09-23T13:03:26.474342,6.798,0.079,6.877,6.835,739576
module.onnxruntime.transformers.models.phi2.inference_example.c,onnxruntime,False,cache_miss,2026-09-23T13:03:33.351133,8.467,0.079,8.546,8.558,793011
module.onnxruntime.transformers.models.sam2.benchmark_sam2.c,onnxruntime,False,cache_miss,2026-09-23T13:03:41.889918,9.607,0.071,9.678,9.663,954773
module.onnxruntime.transformers.models.sam2.c,onnxruntime,False,cache_miss,2026-09-23T13:03:51.569212,2.720,0.073,2.793,2.833,74513
module.onnxruntime.transformers.models.sam2.convert_to_onnx.c,onnxruntime,False,cache_miss,2026-09-23T13:03:54.356817,4.274,0.068,4.341,4.302,382613
module.onnxruntime.transformers.models.sam2.image_decoder.c,onnxruntime,False,cache_miss,2026-09-23T13:03:58.712115,5.414,0.082,5.495,5.492,492694
module.onnxruntime.transformers.models.sam2.image_encoder.c,onnxruntime,False,cache_miss,2026-09-23T13:04:04.206077,4.697,0.080,4.778,4.797,462066
module.onnxruntime.transformers.models.sam2.mask_decoder.c,onnxruntime,False,cache_miss,2026-09-23T13:04:08.963966,4.132,0.061,4.192,4.188,429223
module.onnxruntime.transformers.models.sam2.nvtx_helper.c,onnxruntime,False,cache_miss,2026-09-23T13:04:13.158791,2.852,0.063,2.915,2.940,133071
module.onnxruntime.transformers.models.sam2.prompt_encoder.c,onnxruntime,False,cache_miss,2026-09-23T13:04:16.075541,4.205,0.065,4.270,4.248,404195
module.onnxruntime.transformers.models.sam2.sam2_demo.c,onnxruntime,False,cache_miss,2026-09-23T13:04:20.346683,5.525,0.066,5.591,5.570,558251
module.onnxruntime.transformers.models.sam2.sam2_image_onnx_predictor.c,onnxruntime,False,cache_miss,2026-09-23T13:04:25.945356,4.853,0.074,4.926,4.950,481108
module.onnxruntime.transformers.models.sam2.sam2_utils.c,onnxruntime,False,cache_miss,2026-09-23T13:04:30.851016,3.206,0.053,3.259,3.265,286676
module.onnxruntime.transformers.models.stable_diffusion.benchmark.c,onnxruntime,False,cache_miss,2026-09-23T13:04:34.137137,16.251,0.080,16.331,16.320,1738281
module.onnxruntime.transformers.models.stable_diffusion.benchmark_controlnet.c,onnxruntime,False,cache_miss,2026-09-23T13:04:50.455473,6.338,0.067,6.405,6.390,608101
module.onnxruntime.transformers.models.stable_diffusion.c,onnxruntime,False,cache_miss,2026-09-23T13:04:56.859246,2.646,0.066,2.712,2.759,76217
module.onnxruntime.transformers.models.stable_diffusion.demo_txt2img.c,onnxruntime,False,cache_miss,2026-09-23T13:04:59.558781,2.980,0.053,3.033,3.029,166717
module.onnxruntime.transformers.models.stable_diffusion.demo_txt2img_xl.c,onnxruntime,False,cache_miss,2026-09-23T13:05:02.599101,5.553,0.061,5.614,5.579,503373
module.onnxruntime.transformers.models.stable_diffusion.demo_utils.c,onnxruntime,False,cache_miss,2026-09-23T13:05:08.237297,7.402,0.085,7.487,7.496,966914
module.onnxruntime.transformers.models.stable_diffusion.diffusion_models.c,onnxruntime,False,cache_miss,2026-09-23T13:05:15.730810,21.570,0.091,21.661,21.662,2483341
module.onnxruntime.transformers.models.stable_diffusion.diffusion_schedulers.c,onnxruntime,False,cache_miss,2026-09-23T13:05:37.385526,15.090,0.085,15.175,15.181,1758488
module.onnxruntime.transformers.models.stable_diffusion.engine_builder.c,onnxruntime,False,cache_miss,2026-09-23T13:05:52.544192,5.169,0.069,5.238,5.213,586227
