source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
__constants.c,<nuitka>,False,direct_cache_hit,2026-09-23T10:34:12.233178,0.255,0.000,0.255,0.000,9916
__helpers.c,<nuitka>,False,direct_cache_hit,2026-09-23T10:34:12.541979,0.144,0.054,0.198,0.199,343423
__loader.c,<nuitka>,False,cache_miss,2026-09-23T10:34:12.757544,4.248,0.072,4.319,4.243,1059680
module.PIL.AvifImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.071025,0.135,0.066,0.201,0.278,506170
module.PIL.BdfFontFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.249692,0.136,0.043,0.179,0.178,224964
module.PIL.BlpImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.450995,0.130,0.065,0.195,0.196,1196768
module.PIL.BmpImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.631091,0.127,0.050,0.176,0.178,831032
module.PIL.BufrStubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.800047,0.125,0.042,0.168,0.168,147917
module.PIL.ContainerIO.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.974833,0.136,0.049,0.185,0.184,264662
module.PIL.CurImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.169988,0.149,0.059,0.208,0.206,213556
module.PIL.DcxImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.359253,0.123,0.040,0.163,0.166,168274
module.PIL.DdsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.534996,0.133,0.053,0.186,0.187,1123064
module.PIL.EpsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.718604,0.145,0.051,0.196,0.194,650935
module.PIL.ExifTags.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.916273,0.133,0.053,0.186,0.186,588132
module.PIL.FitsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.094163,0.141,0.045,0.186,0.185,328398
module.PIL.FliImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.289663,0.134,0.054,0.188,0.189,348376
module.PIL.FontFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.471622,0.137,0.048,0.185,0.183,273786
module.PIL.FpxImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.658968,0.125,0.050,0.175,0.176,374295
module.PIL.FtexImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.831635,0.141,0.048,0.189,0.189,206714
module.PIL.GbrImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.019414,0.145,0.047,0.192,0.191,178520
module.PIL.GdImageFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.219228,0.140,0.055,0.195,0.196,155744
module.PIL.GifImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.421387,0.143,0.062,0.205,0.205,1794794
module.PIL.GimpGradientFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.613528,0.128,0.049,0.177,0.176,318531
module.PIL.GimpPaletteFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.791766,0.140,0.051,0.190,0.189,122619
module.PIL.GribStubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.976954,0.130,0.045,0.175,0.177,151281
module.PIL.Hdf5StubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.151105,0.129,0.044,0.173,0.174,148745
module.PIL.IcnsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.337894,0.151,0.058,0.209,0.209,670304
module.PIL.IcoImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.547966,0.137,0.059,0.196,0.195,658531
module.PIL.ImImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.739204,0.122,0.054,0.177,0.178,584451
module.PIL.Image.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.979666,0.144,0.118,0.262,0.260,4939341
module.PIL.ImageChops.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.172374,0.139,0.049,0.188,0.188,289532
module.PIL.ImageCms.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.370497,0.133,0.059,0.192,0.194,878313
module.PIL.ImageColor.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.554313,0.141,0.050,0.192,0.192,233433
module.PIL.ImageDraw.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.766258,0.149,0.071,0.220,0.219,1384533
module.PIL.ImageDraw2.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.963718,0.131,0.049,0.180,0.180,332434
module.PIL.ImageEnhance.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.147400,0.152,0.052,0.204,0.203,249506
module.PIL.ImageFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.371746,0.145,0.073,0.218,0.216,1369106
module.PIL.ImageFilter.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.581154,0.158,0.064,0.222,0.224,1105910
module.PIL.ImageFont.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.802647,0.138,0.064,0.202,0.202,1015669
module.PIL.ImageGrab.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.998997,0.150,0.058,0.208,0.208,149306
module.PIL.ImageMath.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.205930,0.141,0.057,0.198,0.199,624843
module.PIL.ImageMode.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.394999,0.134,0.048,0.182,0.182,106951
module.PIL.ImageMorph.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.573954,0.145,0.045,0.189,0.186,414220
module.PIL.ImageOps.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.776813,0.138,0.058,0.196,0.199,899679
module.PIL.ImagePalette.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.963323,0.135,0.049,0.183,0.185,485819
module.PIL.ImagePath.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.138246,0.135,0.040,0.175,0.173,31199
module.PIL.ImageQt.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.320375,0.135,0.048,0.183,0.182,388174
module.PIL.ImageSequence.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.510613,0.144,0.055,0.199,0.198,124693
module.PIL.ImageShow.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.710040,0.148,0.055,0.203,0.205,640716
module.PIL.ImageStat.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.904803,0.142,0.047,0.189,0.187,290932
module.PIL.ImageText.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.104754,0.137,0.058,0.195,0.196,619592
module.PIL.ImageTk.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.294470,0.134,0.052,0.187,0.189,293707
module.PIL.ImageTransform.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.475710,0.131,0.047,0.178,0.176,239563
module.PIL.ImageWin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.658349,0.135,0.052,0.186,0.187,349352
module.PIL.ImtImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.840267,0.142,0.047,0.189,0.189,148755
module.PIL.IptcImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.035661,0.141,0.054,0.194,0.192,379989
module.PIL.Jpeg2KImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.228705,0.148,0.052,0.201,0.202,737350
module.PIL.JpegImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.436150,0.134,0.059,0.193,0.194,1288543
module.PIL.JpegPresets.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.614940,0.139,0.045,0.183,0.182,26207
module.PIL.McIdasImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.794676,0.134,0.041,0.175,0.176,140659
module.PIL.MicImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:27.973693,0.132,0.045,0.178,0.178,185330
module.PIL.MpegImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:28.153059,0.137,0.047,0.184,0.183,204858
module.PIL.MpoImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:28.331910,0.132,0.041,0.174,0.174,389551
module.PIL.MspImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:28.510539,0.147,0.046,0.194,0.194,334316
module.PIL.PSDraw.c,PIL,False,direct_cache_hit,2026-09-23T10:34:28.705957,0.127,0.048,0.175,0.176,210127
module.PIL.PaletteFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:28.875284,0.130,0.043,0.172,0.174,109260
module.PIL.PalmImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:29.049142,0.136,0.044,0.180,0.176,235369
module.PIL.PcdImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:29.235309,0.130,0.051,0.181,0.184,138060
module.PIL.PcfFontFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:29.412944,0.131,0.047,0.179,0.178,541890
module.PIL.PcxImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:29.592750,0.157,0.048,0.205,0.204,353302
module.PIL.PdfImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:29.796967,0.147,0.048,0.195,0.196,383889
module.PIL.PdfParser.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.016487,0.133,0.072,0.205,0.205,2056301
module.PIL.PixarImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.196995,0.141,0.048,0.189,0.189,129726
module.PIL.PngImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.417521,0.143,0.080,0.223,0.221,2539910
module.PIL.PpmImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.615543,0.133,0.055,0.187,0.189,613333
module.PIL.PsdImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.802837,0.136,0.055,0.190,0.190,510127
module.PIL.QoiImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:30.992967,0.143,0.055,0.197,0.198,565608
module.PIL.SgiImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:31.186130,0.140,0.050,0.190,0.191,349799
module.PIL.SpiderImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:31.378618,0.132,0.052,0.185,0.184,498472
module.PIL.SunImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:31.557934,0.139,0.047,0.186,0.185,201939
module.PIL.TarIO.c,PIL,False,direct_cache_hit,2026-09-23T10:34:31.740480,0.124,0.044,0.167,0.168,99119
module.PIL.TgaImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:31.909903,0.127,0.046,0.173,0.171,392073
module.PIL.TiffImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:32.127176,0.152,0.090,0.242,0.242,4144390
module.PIL.TiffTags.c,PIL,False,direct_cache_hit,2026-09-23T10:34:32.329660,0.140,0.051,0.190,0.192,524357
module.PIL.WalImageFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:32.514003,0.138,0.045,0.182,0.183,153183
module.PIL.WebPImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:32.695434,0.141,0.044,0.184,0.185,544040
module.PIL.WmfImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:32.889318,0.134,0.053,0.188,0.187,323224
module.PIL.XVThumbImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.072934,0.133,0.049,0.182,0.182,177921
module.PIL.XbmImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.247965,0.140,0.042,0.182,0.181,188781
module.PIL.XpmImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.434622,0.140,0.047,0.187,0.183,310464
module.PIL.__main__.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.620379,0.141,0.046,0.186,0.191,33901
module.PIL._binary.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.805679,0.137,0.045,0.181,0.181,162920
module.PIL._deprecate.c,PIL,False,direct_cache_hit,2026-09-23T10:34:33.994731,0.137,0.052,0.189,0.190,83578
module.PIL._tkinter_finder.c,PIL,False,direct_cache_hit,2026-09-23T10:34:34.176203,0.135,0.045,0.180,0.180,43416
module.PIL._typing.c,PIL,False,direct_cache_hit,2026-09-23T10:34:34.351188,0.138,0.040,0.177,0.177,93050
module.PIL._util.c,PIL,False,direct_cache_hit,2026-09-23T10:34:34.527239,0.138,0.038,0.176,0.177,72646
module.PIL._version.c,PIL,False,direct_cache_hit,2026-09-23T10:34:34.709065,0.136,0.044,0.180,0.180,25365
module.PIL.c,PIL,False,direct_cache_hit,2026-09-23T10:34:34.883500,0.131,0.038,0.169,0.169,64639
module.PIL.features.c,PIL,False,direct_cache_hit,2026-09-23T10:34:35.062544,0.148,0.048,0.196,0.195,494779
module.PIL.report.c,PIL,False,direct_cache_hit,2026-09-23T10:34:35.249989,0.128,0.040,0.168,0.168,31405
module.__main__.c,__main__,False,direct_cache_hit,2026-09-23T10:34:35.424360,0.133,0.046,0.179,0.178,272433
module.__parents_main__-preLoad.c,__parents_main__-preLoad,False,direct_cache_hit,2026-09-23T10:34:35.616426,0.135,0.059,0.194,0.196,31971
module.__parents_main__.c,__parents_main__,False,direct_cache_hit,2026-09-23T10:34:35.795823,0.131,0.045,0.176,0.176,71512
module.annotated_doc.c,annotated_doc,False,direct_cache_hit,2026-09-23T10:34:35.969606,0.129,0.043,0.171,0.172,36286
module.annotated_doc.main.c,annotated_doc,False,direct_cache_hit,2026-09-23T10:34:36.148923,0.128,0.051,0.179,0.178,76414
module.annotated_types.c,annotated_types,False,direct_cache_hit,2026-09-23T10:34:36.337306,0.137,0.060,0.198,0.197,1020384
module.anyio-preLoad.c,anyio-preLoad,False,direct_cache_hit,2026-09-23T10:34:36.520459,0.140,0.046,0.186,0.186,41580
module.anyio._backends._asyncio.c,anyio,False,direct_cache_hit,2026-09-23T10:34:36.806056,0.139,0.145,0.284,0.285,6499917
module.anyio._backends.c,anyio,False,direct_cache_hit,2026-09-23T10:34:36.993189,0.147,0.048,0.195,0.194,36839
module.anyio._core._asyncio_selector_thread.c,anyio,False,direct_cache_hit,2026-09-23T10:34:37.185929,0.133,0.046,0.179,0.178,366893
module.anyio._core._concurrency_utils.c,anyio,False,direct_cache_hit,2026-09-23T10:34:37.365046,0.125,0.046,0.171,0.173,440557
module.anyio._core._contextmanagers.c,anyio,False,direct_cache_hit,2026-09-23T10:34:37.542783,0.143,0.053,0.196,0.195,320017
module.anyio._core._eventloop.c,anyio,False,direct_cache_hit,2026-09-23T10:34:37.730042,0.133,0.044,0.178,0.178,352455
module.anyio._core._exceptions.c,anyio,False,direct_cache_hit,2026-09-23T10:34:37.910903,0.143,0.048,0.190,0.192,588937
module.anyio._core._fileio.c,anyio,False,direct_cache_hit,2026-09-23T10:34:38.116842,0.127,0.063,0.190,0.189,1849143
module.anyio._core._futures.c,anyio,False,direct_cache_hit,2026-09-23T10:34:38.289008,0.140,0.045,0.186,0.186,345446
module.anyio._core._resources.c,anyio,False,direct_cache_hit,2026-09-23T10:34:38.476213,0.133,0.047,0.180,0.181,65843
module.anyio._core._signals.c,anyio,False,direct_cache_hit,2026-09-23T10:34:38.660894,0.128,0.051,0.179,0.178,51709
module.anyio._core._sockets.c,anyio,False,direct_cache_hit,2026-09-23T10:34:38.857380,0.130,0.069,0.199,0.198,1273186
module.anyio._core._streams.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.029997,0.136,0.043,0.179,0.179,120118
module.anyio._core._subprocesses.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.219369,0.128,0.053,0.181,0.182,284278
module.anyio._core._synchronization.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.412860,0.136,0.065,0.201,0.201,1524034
module.anyio._core._tasks.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.600063,0.130,0.052,0.182,0.181,731561
module.anyio._core._tempfile.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.792233,0.132,0.062,0.194,0.195,952938
module.anyio._core._testing.c,anyio,False,direct_cache_hit,2026-09-23T10:34:39.962642,0.137,0.039,0.176,0.173,151371
module.anyio._core._typedattr.c,anyio,False,direct_cache_hit,2026-09-23T10:34:40.153327,0.130,0.054,0.183,0.184,154687
module.anyio._core.c,anyio,False,direct_cache_hit,2026-09-23T10:34:40.328769,0.131,0.046,0.176,0.177,36463
module.anyio._lazyimport.c,anyio,False,direct_cache_hit,2026-09-23T10:34:40.509814,0.148,0.050,0.199,0.198,390548
module.anyio.abc._eventloop.c,anyio,False,direct_cache_hit,2026-09-23T10:34:40.717922,0.140,0.060,0.200,0.200,572761
module.anyio.abc._resources.c,anyio,False,direct_cache_hit,2026-09-23T10:34:40.903199,0.143,0.045,0.188,0.189,105509
module.anyio.abc._sockets.c,anyio,False,direct_cache_hit,2026-09-23T10:34:41.106437,0.126,0.060,0.186,0.187,836483
module.anyio.abc._streams.c,anyio,False,direct_cache_hit,2026-09-23T10:34:41.292494,0.143,0.060,0.203,0.202,576224
module.anyio.abc._subprocesses.c,anyio,False,direct_cache_hit,2026-09-23T10:34:41.498377,0.122,0.063,0.185,0.186,130662
module.anyio.abc._tasks.c,anyio,False,direct_cache_hit,2026-09-23T10:34:41.685483,0.126,0.065,0.190,0.191,301696
module.anyio.abc._testing.c,anyio,False,direct_cache_hit,2026-09-23T10:34:41.856532,0.144,0.045,0.189,0.189,113399
module.anyio.abc.c,anyio,False,direct_cache_hit,2026-09-23T10:34:42.047801,0.141,0.048,0.189,0.185,168845
module.anyio.c,anyio,False,direct_cache_hit,2026-09-23T10:34:42.237264,0.139,0.048,0.187,0.190,362184
module.anyio.from_thread.c,anyio,False,direct_cache_hit,2026-09-23T10:34:42.431370,0.130,0.055,0.185,0.186,941091
module.anyio.functools.c,anyio,False,direct_cache_hit,2026-09-23T10:34:42.614562,0.134,0.054,0.188,0.188,782862
module.anyio.itertools.c,anyio,False,direct_cache_hit,2026-09-23T10:34:42.823174,0.137,0.075,0.212,0.211,1273375
module.anyio.lowlevel.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.007916,0.112,0.047,0.159,0.159,387169
module.anyio.streams.buffered.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.165467,0.130,0.046,0.176,0.176,444954
module.anyio.streams.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.337807,0.142,0.042,0.184,0.182,36651
module.anyio.streams.file.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.527612,0.136,0.048,0.184,0.186,407401
module.anyio.streams.memory.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.724380,0.134,0.061,0.196,0.195,720184
module.anyio.streams.stapled.c,anyio,False,direct_cache_hit,2026-09-23T10:34:43.911561,0.155,0.053,0.208,0.208,447909
module.anyio.streams.text.c,anyio,False,direct_cache_hit,2026-09-23T10:34:44.118825,0.125,0.052,0.177,0.179,452568
module.anyio.streams.tls.c,anyio,False,direct_cache_hit,2026-09-23T10:34:44.308558,0.152,0.065,0.217,0.215,874209
module.anyio.to_interpreter.c,anyio,False,direct_cache_hit,2026-09-23T10:34:44.507592,0.152,0.047,0.199,0.199,282127
module.anyio.to_process-postLoad.c,anyio,False,direct_cache_hit,2026-09-23T10:34:44.714360,0.142,0.055,0.196,0.197,152924
module.anyio.to_process.c,anyio,False,direct_cache_hit,2026-09-23T10:34:44.911747,0.144,0.056,0.200,0.198,601731
module.anyio.to_thread.c,anyio,False,direct_cache_hit,2026-09-23T10:34:45.105231,0.140,0.049,0.190,0.191,98231
module.attr._cmp.c,attr,False,direct_cache_hit,2026-09-23T10:34:45.291283,0.127,0.046,0.172,0.173,176056
module.attr._compat.c,attr,False,direct_cache_hit,2026-09-23T10:34:45.462227,0.129,0.044,0.173,0.174,130546
module.attr._config.c,attr,False,direct_cache_hit,2026-09-23T10:34:45.644779,0.135,0.054,0.189,0.188,44810
module.attr._funcs.c,attr,False,direct_cache_hit,2026-09-23T10:34:45.839054,0.130,0.059,0.190,0.189,373394
module.attr._make.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.066213,0.144,0.097,0.241,0.241,3825078
module.attr._next_gen.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.255771,0.132,0.046,0.178,0.178,217141
module.attr._version_info.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.431511,0.134,0.044,0.177,0.176,156199
module.attr.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.612238,0.122,0.047,0.169,0.170,181328
module.attr.converters.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.778115,0.133,0.044,0.177,0.177,148579
module.attr.exceptions.c,attr,False,direct_cache_hit,2026-09-23T10:34:46.970029,0.148,0.059,0.206,0.206,252784
module.attr.filters.c,attr,False,direct_cache_hit,2026-09-23T10:34:47.182307,0.138,0.065,0.202,0.203,136024
module.attr.setters.c,attr,False,direct_cache_hit,2026-09-23T10:34:47.378995,0.147,0.059,0.206,0.207,94533
module.attr.validators.c,attr,False,direct_cache_hit,2026-09-23T10:34:47.584468,0.139,0.058,0.197,0.196,955902
module.attrs.c,attrs,False,direct_cache_hit,2026-09-23T10:34:47.777529,0.148,0.054,0.202,0.203,86201
module.attrs.converters.c,attrs,False,direct_cache_hit,2026-09-23T10:34:47.983442,0.151,0.058,0.209,0.207,25826
module.attrs.exceptions.c,attrs,False,direct_cache_hit,2026-09-23T10:34:48.176108,0.147,0.041,0.188,0.189,25826
module.attrs.filters.c,attrs,False,direct_cache_hit,2026-09-23T10:34:48.366678,0.145,0.044,0.189,0.189,25613
module.attrs.setters.c,attrs,False,direct_cache_hit,2026-09-23T10:34:48.575772,0.142,0.064,0.206,0.206,25613
module.attrs.validators.c,attrs,False,direct_cache_hit,2026-09-23T10:34:48.774529,0.149,0.057,0.206,0.206,25826
module.blake3.c,blake3,False,direct_cache_hit,2026-09-23T10:34:48.982283,0.133,0.058,0.191,0.192,42803
module.certifi.c,certifi,False,direct_cache_hit,2026-09-23T10:34:49.157258,0.139,0.042,0.181,0.180,38625
module.certifi.core.c,certifi,False,direct_cache_hit,2026-09-23T10:34:49.353084,0.137,0.057,0.194,0.194,78046
module.cffi._imp_emulation.c,cffi,False,direct_cache_hit,2026-09-23T10:34:49.549277,0.145,0.060,0.204,0.205,263404
module.cffi.api.c,cffi,False,direct_cache_hit,2026-09-23T10:34:49.772581,0.143,0.079,0.222,0.222,1515753
module.cffi.c,cffi,False,direct_cache_hit,2026-09-23T10:34:49.971601,0.143,0.056,0.199,0.199,50670
module.cffi.commontypes.c,cffi,False,direct_cache_hit,2026-09-23T10:34:50.158776,0.138,0.044,0.182,0.184,152900
module.cffi.cparser.c,cffi,False,direct_cache_hit,2026-09-23T10:34:50.365988,0.148,0.069,0.217,0.215,1732554
module.cffi.error.c,cffi,False,direct_cache_hit,2026-09-23T10:34:50.571607,0.139,0.058,0.197,0.197,162278
module.cffi.ffiplatform.c,cffi,False,direct_cache_hit,2026-09-23T10:34:50.767519,0.136,0.057,0.193,0.193,201058
module.cffi.lock.c,cffi,False,direct_cache_hit,2026-09-23T10:34:50.965292,0.147,0.062,0.208,0.210,32017
module.cffi.model.c,cffi,False,direct_cache_hit,2026-09-23T10:34:51.195272,0.137,0.083,0.220,0.219,1531810
module.cffi.pkgconfig.c,cffi,False,direct_cache_hit,2026-09-23T10:34:51.379130,0.151,0.047,0.198,0.198,287356
module.cffi.vengine_cpy.c,cffi,False,direct_cache_hit,2026-09-23T10:34:51.608770,0.147,0.079,0.226,0.225,1479260
module.cffi.vengine_gen.c,cffi,False,direct_cache_hit,2026-09-23T10:34:51.831852,0.137,0.076,0.212,0.213,1242658
module.cffi.verifier.c,cffi,False,direct_cache_hit,2026-09-23T10:34:52.045053,0.113,0.076,0.190,0.192,581297
module.click._compat.c,click,False,direct_cache_hit,2026-09-23T10:34:52.209931,0.134,0.051,0.186,0.184,969073
module.click._termui_impl.c,click,False,direct_cache_hit,2026-09-23T10:34:52.403031,0.128,0.059,0.187,0.187,1300534
module.click._textwrap.c,click,False,direct_cache_hit,2026-09-23T10:34:52.576593,0.122,0.045,0.167,0.169,302830
module.click._utils.c,click,False,direct_cache_hit,2026-09-23T10:34:52.747065,0.123,0.049,0.171,0.171,90518
module.click._winconsole.c,click,False,direct_cache_hit,2026-09-23T10:34:52.915778,0.124,0.046,0.170,0.170,680611
module.click.c,click,False,direct_cache_hit,2026-09-23T10:34:53.083695,0.127,0.044,0.171,0.171,256880
module.click.core.c,click,False,direct_cache_hit,2026-09-23T10:34:53.316779,0.128,0.106,0.234,0.236,4020412
module.click.decorators.c,click,False,direct_cache_hit,2026-09-23T10:34:53.491950,0.136,0.047,0.183,0.180,578547
module.click.exceptions.c,click,False,direct_cache_hit,2026-09-23T10:34:53.689950,0.116,0.062,0.177,0.177,811209
module.click.formatting.c,click,False,direct_cache_hit,2026-09-23T10:34:53.856080,0.147,0.051,0.198,0.198,543060
module.click.globals.c,click,False,direct_cache_hit,2026-09-23T10:34:54.065073,0.135,0.062,0.197,0.197,100299
module.click.parser.c,click,False,direct_cache_hit,2026-09-23T10:34:54.254449,0.133,0.054,0.187,0.187,703005
module.click.shell_completion.c,click,False,direct_cache_hit,2026-09-23T10:34:54.436961,0.117,0.050,0.167,0.166,905563
module.click.termui.c,click,False,direct_cache_hit,2026-09-23T10:34:54.616023,0.124,0.062,0.186,0.188,701695
module.click.types.c,click,False,direct_cache_hit,2026-09-23T10:34:54.826241,0.135,0.086,0.221,0.222,2150569
module.click.utils.c,click,False,direct_cache_hit,2026-09-23T10:34:55.022061,0.128,0.061,0.189,0.188,684894
module.colorama.ansi.c,colorama,False,direct_cache_hit,2026-09-23T10:34:55.191281,0.127,0.041,0.169,0.168,316618
module.colorama.ansitowin32.c,colorama,False,direct_cache_hit,2026-09-23T10:34:55.371728,0.124,0.053,0.177,0.179,663668
module.colorama.c,colorama,False,direct_cache_hit,2026-09-23T10:34:55.553293,0.135,0.057,0.193,0.191,54161
module.colorama.initialise.c,colorama,False,direct_cache_hit,2026-09-23T10:34:55.748369,0.123,0.060,0.182,0.182,194468
module.colorama.win32.c,colorama,False,direct_cache_hit,2026-09-23T10:34:55.930024,0.143,0.059,0.202,0.202,394866
module.colorama.winterm.c,colorama,False,direct_cache_hit,2026-09-23T10:34:56.125551,0.125,0.053,0.178,0.178,410645
module.commctrl.c,commctrl,False,direct_cache_hit,2026-09-23T10:34:56.322497,0.134,0.072,0.206,0.206,1880045
module.cryptography.__about__.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:56.497981,0.130,0.041,0.171,0.171,32495
module.cryptography.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:56.665686,0.122,0.038,0.160,0.161,40331
module.cryptography.exceptions.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:56.834307,0.141,0.047,0.188,0.188,219688
module.cryptography.hazmat.bindings.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:57.021490,0.146,0.046,0.192,0.189,43464
module.cryptography.hazmat.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:57.210665,0.132,0.043,0.175,0.176,38010
module.cryptography.hazmat.decrepit.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:57.386362,0.133,0.044,0.176,0.178,43464
module.cryptography.hazmat.decrepit.ciphers.algorithms.c,cryptography,False,direct_cache_hit,2026-09-23T10:34:57.569626,0.131,0.051,0.182,0.183,467946
